Country,Confirmed Cases
China*,7736
Japan,11
Republic of Korea,4
Viet Nam,2
Singapore,10
Australia,7
Malaysia,7
Cambodia,1
Philippines,1
Thailand,14
Nepal,1
Sri Lanka,1
India,1
United States of America,5
Canada,3
France,5
Finland,1
Germany,4
United Arab Emirates,4
Total,7818
