Country,Confirmed Cases
China*,4537
Japan,6
Republic of Korea,4
Viet Nam,2
Singapore,7
Australia,5
Malaysia,4
Cambodia,1
Thailand,14
Nepal,1
Sri Lanka,1
United States of America,5
Canada,2
France,3
Germany,1
Total,4593
