Country,Confirmed Cases
China*,11821
Japan,17
Republic of Korea,12
Viet Nam,6
Singapore,16
Australia,12
Malaysia,8
Cambodia,1
Philippines,1
Thailand,19
Nepal,1
Sri Lanka,1
India,1
United States of America,7
Canada,4
France,6
Finland,1
Germany,7
Italy,2
Russian Federation,2
Spain,1
Sweden,1
United Kingdom,2
United Arab Emirates,4
Total,11953
