Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Singapore,72 (5),22 (0),49 (5),1 (0),0 (0)
Japan,53 (12),26 (1),27 (11),0 (0),1 (0)
Republic of Korea,29 (1),13 (0),13‡ (1),3 (0),0 (0)
Malaysia,22 (1),17 (0),4§ (0),1 (1),0 (0)
Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0)
Australia,15 (0),12 (0),3 (0),0 (0),0 (0)
Philippines,3 (0),3 (0),0 (0),0 (0),1 (0)
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0)
Thailand,34 (0),23 (0),7 (0),4 (0),0 (0)
India,3 (0),3 (0),0 (0),0 (0),0 (0)
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0)
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0)
United States of America,15 (0),13 (0),2 (0),0 (0),0 (0)
Canada,7 (0),6 (0),0 (0),1 (0),0 (0)
Germany,16 (0),2 (0),14 (0),0 (0),0 (0)
France,12 (1),5 (0),7 (1),0 (0),1 (1)
The United Kingdom,9 (0),2 (0),7** (0),0 (0),0 (0)
Italy,3 (0),3 (0),0 (0),0 (0),0 (0)
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0)
Spain,2 (0),0 (0),2†† (0),0 (0),0 (0)
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0)
Finland,1 (0),1 (0),0 (0),0 (0),0 (0)
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0)
United Arab Emirates,8 (0),6 (0),1 (0),1 (0),0 (0)
Egypt,1 (0),0 (0),1 (0),0 (0),0 (0)
International conveyance (Japan),355 (137),0 (0),0 (0),355 (137),0 (0)
