Country,Confirmed Cases
China,2761
Japan,4
Republic of Korea,4
Viet Nam,2
Singapore,4
Australia,4
Malaysia,4
Thailand,5
Nepal,1
United States of America,5
Canada,1
France,3
Total,2798
