Country,Confirmed Cases
China,9720
Japan,14
Republic of Korea,11
Viet Nam,5
Singapore,13
Australia,9
Malaysia,8
Cambodia,1
Philippines,1
Thailand,14
Nepal,1
Sri Lanka,1
India,1
United States of America,6
Canada,3
France,6
Finland,1
Germany,5
Italy,2
United Arab Emirates,4
Total,9826
