Country,Confirmed Cases
China*,5997
Japan,7
Republic of Korea,4
Viet Nam,2
Singapore,7
Australia,7
Malaysia,4
Cambodia,1
Thailand,14
Nepal,1
Sri Lanka,1
United States of America,5
Canada,3
France,4
Germany,4
United Arab Emirates,4
Total,6065
