Country,Confirmed Cases
China,14411
Japan,20
Republic of Korea,15
Viet Nam,7
Singapore,18
Australia,12
Malaysia,8
Cambodia,1
Philippines,2
Thailand,19
Nepal,1
Sri Lanka,1
India,2
United States of America,8
Canada,4
France,6
Finland,1
Germany,8
Italy,2
Russian Federation,2
Spain,1
Sweden,1
United Kingdom,2
United Arab Emirates,5
Total,14557
