name,time,Temp
t2,1577582608000000000,-0.3
t2,1577583314000000000,0.6
t2,1577584011000000000,1.6
t2,1577584850000000000,2.6
t2,1577591547000000000,7.9
t2,1577592455000000000,10
t2,1577596258000000000,13.8
t2,1577597111000000000,12.6
t2,1577598045000000000,11.4
t2,1577599474000000000,12.4
t2,1577601763000000000,11.4
t2,1577602036000000000,10.3
t2,1577604331000000000,7.2
t2,1577604595000000000,6.1
t2,1577605363000000000,5.1
t2,1577607377000000000,4.1
t2,1577614154000000000,2
t2,1577616506000000000,0.9
t2,1577619065000000000,0
t2,1577633843000000000,-4.3
t2,1577636990000000000,-5.5
t2,1577639596000000000,-6.7
t2,1577643807000000000,-7.8
t2,1577647638000000000,-9
t2,1577657102000000000,-10.7
t2,1577663916000000000,-11.1
t2,1577664843000000000,-10
t2,1577665717000000000,-8.9
t2,1577666488000000000,-7.8
t2,1577667410000000000,-6.5
t2,1577669273000000000,-6.5
t2,1577670087000000000,-5.3
t2,1577670719000000000,-4.1
t2,1577674775000000000,-2.8
t2,1577675127000000000,-4.1
t2,1577676306000000000,-2.8
t2,1577677203000000000,-3.1
t2,1577677939000000000,-4.3
t2,1577679603000000000,-3.2
t2,1577681493000000000,-2.1
t2,1577683611000000000,-1.9
t2,1577684270000000000,-3.1
t2,1577688992000000000,-3.3
t2,1577693573000000000,-5.7
t2,1577695464000000000,-7.9
t2,1577702378000000000,-10.2
t2,1577707006000000000,-10.4
t2,1577725549000000000,-12.6
t2,1577745539000000000,-14.8
t2,1577750217000000000,-13.7
t2,1577751080000000000,-11.3
t2,1577751347000000000,-10.1
t2,1577751697000000000,-8.9
t2,1577752117000000000,-7.8
t2,1577752737000000000,-5.4
t2,1577753752000000000,-4.3
t2,1577754810000000000,-2.1
t2,1577755131000000000,0.9
t2,1577756468000000000,0
t2,1577756791000000000,1
t2,1577757535000000000,0
t2,1577757859000000000,1
t2,1577758503000000000,2.1
t2,1577758878000000000,3.2
t2,1577759621000000000,5.4
t2,1577759928000000000,4.1
t2,1577760491000000000,5.1
t2,1577760626000000000,6.1
