name,time,Temp
t2,1577580831000000000,0.5
t2,1577582804000000000,1.5
t2,1577583551000000000,2.5
t2,1577584473000000000,3.5
t2,1577590210000000000,7.7
t2,1577591260000000000,8.9
t2,1577591975000000000,8.9
t2,1577592157000000000,7.8
t2,1577592361000000000,8.9
t2,1577592634000000000,9.9
t2,1577596349000000000,12
t2,1577598144000000000,9.9
t2,1577599015000000000,11.4
t2,1577600083000000000,12.6
t2,1577600994000000000,10.2
t2,1577601489000000000,9.1
t2,1577603781000000000,6.8
t2,1577606582000000000,5.7
t2,1577613893000000000,3.5
t2,1577616600000000000,2.5
t2,1577626940000000000,0.4
t2,1577629769000000000,-1.4
t2,1577632930000000000,-2.4
t2,1577635775000000000,-3.7
t2,1577639963000000000,-4.9
t2,1577649072000000000,-7.4
t2,1577654635000000000,-8.1
t2,1577663691000000000,-9.1
t2,1577664916000000000,-7.9
t2,1577666642000000000,-6.6
t2,1577666949000000000,-5.4
t2,1577668558000000000,-4.3
t2,1577670351000000000,-3
t2,1577671012000000000,-4.2
t2,1577671946000000000,-5.3
t2,1577672884000000000,-2.9
t2,1577674513000000000,-1.5
t2,1577676084000000000,-2.7
t2,1577683550000000000,0.3
t2,1577685828000000000,-1.3
t2,1577689191000000000,-2.4
t2,1577689431000000000,-3.7
t2,1577689823000000000,-4.9
t2,1577692765000000000,-6.2
t2,1577697718000000000,-7.4
t2,1577703126000000000,-8.4
t2,1577709617000000000,-8.4
t2,1577712653000000000,-9.6
t2,1577717468000000000,-9.8
t2,1577724086000000000,-9.8
t2,1577730003000000000,-11
t2,1577734920000000000,-11.3
t2,1577738176000000000,-12.4
t2,1577743144000000000,-12.5
t2,1577750446000000000,-10.6
t2,1577750968000000000,-9.5
t2,1577751312000000000,-8.4
t2,1577751746000000000,-7
t2,1577753106000000000,-3.4
t2,1577753875000000000,-1.2
t2,1577754317000000000,0.2
t2,1577754671000000000,0.7
t2,1577758668000000000,5
t2,1577758801000000000,6
t2,1577759094000000000,8.1
t2,1577759636000000000,7
t2,1577760294000000000,8.1
t2,1577760586000000000,9.3
t2,1577761240000000000,7
t2,1577761734000000000,7.3
t2,1577762112000000000,8.3
t2,1577763187000000000,10.4
t2,1577763947000000000,9.4
t2,1577764501000000000,9.1
t2,1577764610000000000,10.2
t2,1577765789000000000,11.2
t2,1577766511000000000,11.2
t2,1577767797000000000,9.1
t2,1577768667000000000,9.1
t2,1577769179000000000,10.2
t2,1577769289000000000,11.2
t2,1577773888000000000,9
t2,1577774225000000000,7.8
t2,1577775492000000000,5.5
t2,1577775631000000000,4.5
t2,1577775742000000000,3.4
t2,1577776039000000000,1.3
t2,1577776223000000000,0.1
t2,1577776558000000000,0.9
t2,1577777229000000000,-1.9
t2,1577778140000000000,-3
t2,1577780880000000000,-4.3
t2,1577783806000000000,-5.4
t2,1577788624000000000,-6.6
t2,1577815042000000000,-9.3
t2,1577820389000000000,-9.1
t2,1577839251000000000,-5.7
t2,1577840740000000000,-3.2
t2,1577843420000000000,4.3
t2,1577846551000000000,8.9
t2,1577854110000000000,12.2
t2,1577856018000000000,13.4
t2,1577856544000000000,12
t2,1577858552000000000,10.7
t2,1577860958000000000,8.3
t2,1577862061000000000,5.1
t2,1577862274000000000,4.1
t2,1577862437000000000,2.9
t2,1577862767000000000,1.8
t2,1577863430000000000,0.7
t2,1577866911000000000,-1.2
t2,1577868331000000000,-2.2
t2,1577877484000000000,-3.7
t2,1577882326000000000,-3.3
t2,1577886276000000000,-4.4
t2,1577891263000000000,-4.7
t2,1577905381000000000,-5.2
t2,1577907750000000000,-6.4
t2,1577916417000000000,-6.5
t2,1577921582000000000,-6.3
t2,1577923660000000000,-5.2
t2,1577924720000000000,-2.8
t2,1577925184000000000,-1.7
t2,1577927524000000000,0.2
t2,1577928450000000000,1.3
t2,1577928828000000000,3.3
t2,1577930056000000000,2.1
t2,1577932371000000000,5.4
t2,1577933226000000000,6.5
t2,1577934698000000000,8.9
t2,1577935015000000000,11
t2,1577935122000000000,12
t2,1577935455000000000,14.2
t2,1577936933000000000,13.1
t2,1577937143000000000,12
t2,1577937574000000000,14.2
t2,1577937732000000000,15.2
t2,1577937888000000000,16.3
t2,1577939152000000000,17.4
t2,1577939357000000000,18.5
t2,1577939508000000000,17.4
t2,1577939719000000000,18.5
t2,1577939995000000000,19.6
t2,1577940558000000000,20.7
t2,1577941292000000000,19.6
t2,1577941456000000000,18.5
t2,1577941541000000000,17.1
t2,1577941925000000000,16
t2,1577942058000000000,15
t2,1577942219000000000,13.9
t2,1577942919000000000,15
t2,1577943917000000000,16
t2,1577944096000000000,15
t2,1577945210000000000,11.6
t2,1577945818000000000,9.5
t2,1577946291000000000,7.4
t2,1577950552000000000,6.3
t2,1577952958000000000,4.1
t2,1577955302000000000,2
t2,1577956618000000000,1
t2,1577961470000000000,0.9
t2,1577968172000000000,1
t2,1577972993000000000,0
t2,1577975930000000000,0
t2,1577981019000000000,0
t2,1577983910000000000,0.9
t2,1577987572000000000,0.9
t2,1577992803000000000,-1.2
t2,1577994149000000000,-2.2
t2,1577998755000000000,-3.4
t2,1578000106000000000,-2.1
t2,1578011293000000000,0.4
t2,1578012524000000000,2.5
t2,1578013105000000000,3.5
t2,1578013961000000000,4.6
t2,1578014654000000000,5.6
t2,1578015428000000000,6.6
t2,1578015563000000000,7.7
t2,1578016904000000000,11.1
t2,1578017311000000000,12.2
t2,1578017698000000000,13.2
t2,1578020243000000000,16
t2,1578020907000000000,18.3
t2,1578021609000000000,19.6
t2,1578023104000000000,20.7
t2,1578023885000000000,21.8
t2,1578024398000000000,22.9
t2,1578024753000000000,21.8
t2,1578025853000000000,22.9
t2,1578026438000000000,24
t2,1578027659000000000,22.6
t2,1578028458000000000,19.3
t2,1578029612000000000,20.4
t2,1578030146000000000,19.3
t2,1578031019000000000,19.3
t2,1578031987000000000,18.1
t2,1578032718000000000,19.3
t2,1578033995000000000,18.2
t2,1578034941000000000,15.9
t2,1578035212000000000,13.5
t2,1578035558000000000,11.4
t2,1578036119000000000,9.3
t2,1578037813000000000,7
t2,1578041831000000000,3.8
t2,1578047911000000000,2
t2,1578049481000000000,3
t2,1578050803000000000,2
t2,1578053042000000000,3
t2,1578056232000000000,2
t2,1578057469000000000,1
t2,1578064411000000000,2
t2,1578066611000000000,1
t2,1578069556000000000,0
t2,1578073068000000000,0.9
t2,1578077926000000000,0.9
t2,1578084499000000000,0.8
t2,1578085674000000000,0.2
t2,1578095494000000000,0.4
t2,1578096143000000000,0.5
t2,1578097075000000000,1.5
t2,1578098217000000000,2.5
t2,1578098881000000000,3.5
t2,1578099713000000000,4.6
t2,1578100027000000000,5.6
t2,1578101465000000000,7.7
t2,1578102128000000000,10
t2,1578102841000000000,12.6
t2,1578104479000000000,14.7
t2,1578104585000000000,15.8
t2,1578106121000000000,16
t2,1578106254000000000,17.2
t2,1578106485000000000,18.5
t2,1578107690000000000,20.7
t2,1578108993000000000,17.4
t2,1578109404000000000,18.5
t2,1578109580000000000,19.6
t2,1578109999000000000,18.5
t2,1578110455000000000,20.7
t2,1578111909000000000,22
t2,1578112270000000000,23.1
t2,1578113023000000000,22
t2,1578113532000000000,20.7
t2,1578115839000000000,20.9
t2,1578116462000000000,20.9
t2,1578116677000000000,19.8
t2,1578116921000000000,21.2
t2,1578117053000000000,22.3
t2,1578117350000000000,21.2
t2,1578117561000000000,20.1
t2,1578118697000000000,21.3
t2,1578118931000000000,20.1
t2,1578119792000000000,18.7
t2,1578121439000000000,16.3
t2,1578121550000000000,15.1
t2,1578121769000000000,12.6
t2,1578121952000000000,11.4
t2,1578122742000000000,9.1
t2,1578127550000000000,6
t2,1578128697000000000,4.8
t2,1578133655000000000,5.1
t2,1578140032000000000,4.8
t2,1578151012000000000,1.6
t2,1578159228000000000,0
t2,1578168764000000000,-1.3
t2,1578175348000000000,0.7
t2,1578178466000000000,-1.7
t2,1578183994000000000,-1.5
t2,1578185132000000000,0.4
t2,1578189549000000000,1.5
t2,1578190346000000000,2.5
t2,1578191610000000000,3.5
t2,1578194548000000000,4.8
t2,1578196927000000000,4.7
t2,1578201646000000000,5
t2,1578211175000000000,2.9
t2,1578213715000000000,1.9
t2,1578225088000000000,1.6
t2,1578226461000000000,0.6
t2,1578230885000000000,0.3
t2,1578242377000000000,0.3
t2,1578271692000000000,0.9
t2,1578281655000000000,4.1
t2,1578282364000000000,6.1
t2,1578282524000000000,7.2
t2,1578283207000000000,9.5
t2,1578283848000000000,8.5
t2,1578284721000000000,9.7
t2,1578285180000000000,13
t2,1578285452000000000,11.9
t2,1578285942000000000,7.4
t2,1578290754000000000,8.6
t2,1578291892000000000,6.5
t2,1578292161000000000,4.5
t2,1578292610000000000,3.4
t2,1578293716000000000,4.5
t2,1578294119000000000,5.5
t2,1578296727000000000,3.4
t2,1578298349000000000,2.4
t2,1578300688000000000,1.4
t2,1578306323000000000,0.5
t2,1578310992000000000,1.1
t2,1578316572000000000,2.3
t2,1578327811000000000,1.9
t2,1578335006000000000,1.3
t2,1578338935000000000,0.2
t2,1578345642000000000,0.3
t2,1578352584000000000,0.2
t2,1578363251000000000,1.8
t2,1578365754000000000,2.8
t2,1578377195000000000,3.2
t2,1578384125000000000,2.7
t2,1578388395000000000,1.6
t2,1578394350000000000,1.5
t2,1578401277000000000,1.1
t2,1578413672000000000,0
t2,1578416785000000000,0.9
t2,1578428683000000000,-1.5
t2,1578435779000000000,-1.5
t2,1578441506000000000,0.4
t2,1578443967000000000,1.5
t2,1578451147000000000,4.6
t2,1578454709000000000,7
t2,1578455663000000000,8.1
t2,1578455944000000000,9.3
t2,1578456031000000000,10.4
t2,1578456118000000000,11.5
t2,1578456466000000000,9.1
t2,1578457002000000000,11.5
t2,1578457843000000000,9.4
t2,1578459881000000000,11.5
t2,1578463338000000000,15.2
t2,1578463495000000000,16.4
t2,1578464500000000000,15.2
t2,1578464676000000000,13
t2,1578464884000000000,11.8
t2,1578465390000000000,13.1
t2,1578465500000000000,14.2
t2,1578465791000000000,13.1
t2,1578466290000000000,14.2
t2,1578466476000000000,15.4
t2,1578467227000000000,14.2
t2,1578467335000000000,12.8
t2,1578467582000000000,10.4
t2,1578467858000000000,8.3
t2,1578468217000000000,7.2
t2,1578468455000000000,6
t2,1578469427000000000,5
t2,1578473289000000000,2.8
t2,1578478962000000000,0.7
t2,1578483941000000000,0.5
t2,1578491024000000000,-1.4
t2,1578502054000000000,-1.7
t2,1578503108000000000,0.7
t2,1578508062000000000,0.9
t2,1578517303000000000,-3.2
t2,1578522213000000000,-3.7
t2,1578525579000000000,-4.9
t2,1578528776000000000,-2.4
t2,1578530845000000000,1.5
t2,1578531921000000000,3.5
t2,1578539407000000000,12
t2,1578540095000000000,13.1
t2,1578541911000000000,13.6
t2,1578542278000000000,15
t2,1578542439000000000,16
t2,1578542807000000000,18.2
t2,1578543050000000000,19.3
t2,1578543205000000000,20.4
t2,1578543721000000000,21.6
t2,1578544860000000000,19.3
t2,1578545197000000000,18.2
t2,1578545499000000000,19.4
t2,1578545703000000000,20.7
t2,1578546780000000000,19.3
t2,1578547168000000000,17.1
t2,1578547434000000000,18.2
t2,1578548015000000000,17.1
t2,1578548681000000000,18.2
t2,1578548935000000000,17.1
t2,1578549711000000000,16
t2,1578551835000000000,13.4
t2,1578553554000000000,9.1
t2,1578553926000000000,6.8
t2,1578555025000000000,4.7
t2,1578556125000000000,3.7
t2,1578557704000000000,2.7
t2,1578559036000000000,1.6
t2,1578561583000000000,0.6
t2,1578572901000000000,0.9
t2,1578574909000000000,0
t2,1578576145000000000,0.9
t2,1578579502000000000,0
t2,1578582739000000000,-1
t2,1578587678000000000,-1.8
t2,1578594388000000000,-2.3
t2,1578609055000000000,-1.5
t2,1578611509000000000,-2.8
t2,1578612566000000000,-1.7
t2,1578615073000000000,0.2
t2,1578615798000000000,1.4
t2,1578618633000000000,4.6
t2,1578620341000000000,7.3
t2,1578621706000000000,7.3
t2,1578622219000000000,6.3
t2,1578623438000000000,5.2
t2,1578623677000000000,6.3
t2,1578624325000000000,7.3
t2,1578626166000000000,8.3
t2,1578626608000000000,9.4
t2,1578628331000000000,11.6
t2,1578629535000000000,10.4
t2,1578629984000000000,11.5
t2,1578630451000000000,13.9
t2,1578631918000000000,12.8
t2,1578632271000000000,13.9
t2,1578632382000000000,15.2
t2,1578632699000000000,15.1
t2,1578632807000000000,14
t2,1578633845000000000,16.6
t2,1578634024000000000,17.7
t2,1578634891000000000,12.7
t2,1578635113000000000,10.4
t2,1578637275000000000,10.3
t2,1578637967000000000,11.4
t2,1578638407000000000,10.2
t2,1578639299000000000,9.1
t2,1578640058000000000,9.3
t2,1578640196000000000,8.1
t2,1578640382000000000,7
t2,1578640705000000000,5.9
t2,1578645501000000000,3.8
t2,1578647975000000000,2.8
t2,1578657960000000000,1.5
t2,1578672142000000000,0.8
t2,1578677298000000000,-1.2
t2,1578682881000000000,-2.2
t2,1578693597000000000,-3.7
t2,1578705627000000000,-1.8
t2,1578708689000000000,0.7
t2,1578713760000000000,0.2
t2,1578716382000000000,1.3
t2,1578720884000000000,2.5
t2,1578725563000000000,2.5
t2,1578729884000000000,0.5
t2,1578731593000000000,0.4
t2,1578738697000000000,-1.3
t2,1578766952000000000,-2.2
t2,1578788829000000000,-1.8
t2,1578790201000000000,0.1
t2,1578791298000000000,1.3
t2,1578792084000000000,2.3
t2,1578794442000000000,4.5
t2,1578795072000000000,6.5
t2,1578795235000000000,7.6
t2,1578795419000000000,8.6
t2,1578796150000000000,9.8
t2,1578796283000000000,8.7
t2,1578797066000000000,9.1
t2,1578798452000000000,11.5
t2,1578799737000000000,13.6
t2,1578800943000000000,13.6
t2,1578801239000000000,14.7
t2,1578801979000000000,12.3
t2,1578802454000000000,13.4
t2,1578803867000000000,14.7
t2,1578804933000000000,13.5
t2,1578805346000000000,12.4
t2,1578805799000000000,13.5
t2,1578806044000000000,14.6
t2,1578806230000000000,13.5
t2,1578807963000000000,13.5
t2,1578808329000000000,14.6
t2,1578809224000000000,13.4
t2,1578809311000000000,12.3
t2,1578809444000000000,11.2
t2,1578810619000000000,10.2
t2,1578810806000000000,8.9
t2,1578811446000000000,10
t2,1578811632000000000,11.4
t2,1578812425000000000,10
t2,1578812558000000000,9
t2,1578812916000000000,7.9
t2,1578813219000000000,6.9
t2,1578813354000000000,5.9
t2,1578813465000000000,4.8
t2,1578814661000000000,2.8
t2,1578816622000000000,1.8
t2,1578820782000000000,0.7
t2,1578829237000000000,-1.2
t2,1578831161000000000,0.2
t2,1578834459000000000,-1.2
t2,1578849849000000000,-3.7
t2,1578866716000000000,-5.5
t2,1578873820000000000,-4.9
t2,1578880556000000000,0.5
t2,1578884081000000000,1.4
t2,1578885866000000000,3.7
t2,1578886141000000000,4.7
t2,1578886374000000000,3.3
t2,1578886510000000000,2.3
t2,1578890012000000000,3.4
t2,1578890458000000000,2.4
t2,1578890710000000000,3.4
t2,1578893089000000000,3.5
t2,1578895193000000000,4.7
t2,1578895753000000000,3.5
t2,1578897595000000000,4.6
t2,1578898219000000000,2.5
t2,1578898702000000000,3.5
t2,1578899639000000000,1.5
t2,1578899824000000000,0.5
t2,1578900240000000000,0.4
t2,1578907868000000000,-1.8
t2,1578912673000000000,-1.9
t2,1578919377000000000,-2.2
t2,1578930363000000000,-3.7
t2,1578944606000000000,-5.2
t2,1578950028000000000,-6.4
t2,1578959470000000000,-6.6
t2,1578960448000000000,-5.4
t2,1578962916000000000,0.9
t2,1578964129000000000,0
t2,1578964982000000000,2.1
t2,1578966023000000000,4.2
t2,1578966428000000000,6.3
t2,1578968387000000000,9.4
t2,1578970132000000000,10.4
t2,1578970431000000000,9.4
