name,time,Temp
t2,1581612345000000000,5.4
t2,1581621404000000000,4.1
t2,1581629606000000000,2.1
t2,1581632197000000000,1.1
t2,1581640852000000000,0.8
t2,1581645724000000000,-1.1
t2,1581659250000000000,0.8
t2,1581666543000000000,0.8
t2,1581673931000000000,-1.6
t2,1581681523000000000,-2.1
t2,1581693574000000000,-2.3
t2,1581698299000000000,-3.6
t2,1581713739000000000,-6.5
t2,1581720717000000000,-7.3
t2,1581724044000000000,-6.2
t2,1581726123000000000,-5.1
t2,1581727582000000000,-3.9
t2,1581728727000000000,-2.8
t2,1581731197000000000,-1.8
t2,1581731355000000000,0.8
t2,1581733259000000000,0.1
t2,1581734290000000000,0.8
t2,1581735553000000000,1.4
t2,1581736564000000000,2.4
t2,1581737074000000000,1.4
t2,1581737507000000000,0.4
t2,1581740052000000000,2.5
t2,1581741538000000000,1.4
t2,1581741871000000000,2.4
t2,1581743539000000000,3.5
t2,1581746776000000000,2.6
t2,1581750657000000000,4.1
t2,1581751662000000000,3
t2,1581753907000000000,2
t2,1581756019000000000,0
t2,1581756438000000000,-1.1
t2,1581756856000000000,-2.1
t2,1581758081000000000,-3.1
t2,1581780636000000000,-5.3
t2,1581787660000000000,-5.3
t2,1581794992000000000,-5.5
t2,1581810154000000000,-2.6
t2,1581812042000000000,0.6
t2,1581812664000000000,0.4
t2,1581813927000000000,1.4
t2,1581818162000000000,3.4
t2,1581819391000000000,4.6
t2,1581819939000000000,5.6
t2,1581823353000000000,6.8
t2,1581828212000000000,8.2
t2,1581828995000000000,7.2
t2,1581832078000000000,9.3
t2,1581832332000000000,8.2
t2,1581835963000000000,7.2
t2,1581838531000000000,6.1
t2,1581839994000000000,5.1
t2,1581841304000000000,4.1
t2,1581843113000000000,3
t2,1581844343000000000,2
t2,1581845288000000000,0.7
t2,1581847573000000000,-1.4
t2,1581852323000000000,-1.8
t2,1581854987000000000,-2.8
t2,1581859619000000000,-3.2
