name,time,Temp
t2,1581630647000000000,2.9
t2,1581635011000000000,1.8
t2,1581639963000000000,0.6
t2,1581645421000000000,0
t2,1581651796000000000,0
t2,1581658950000000000,0.2
t2,1581674077000000000,0.4
t2,1581681829000000000,0.9
t2,1581689646000000000,0.8
t2,1581701043000000000,-2.9
t2,1581706535000000000,-4
t2,1581711813000000000,-4.7
t2,1581725308000000000,-3.7
t2,1581725497000000000,-2.5
t2,1581726354000000000,-2.7
t2,1581735534000000000,0.4
t2,1581735578000000000,1.4
t2,1581735776000000000,4.5
t2,1581736148000000000,6.8
t2,1581736717000000000,7.8
t2,1581737248000000000,6.8
t2,1581737337000000000,5.7
t2,1581737470000000000,3.4
t2,1581737560000000000,2.4
t2,1581737675000000000,1.4
t2,1581737890000000000,0.4
t2,1581738713000000000,0.5
t2,1581743482000000000,1.6
t2,1581744290000000000,0.6
t2,1581746656000000000,1.9
t2,1581746745000000000,2.9
t2,1581746994000000000,5
t2,1581747978000000000,2.8
t2,1581748168000000000,1.6
t2,1581748334000000000,0.6
t2,1581756494000000000,-1
t2,1581759665000000000,-2
t2,1581768495000000000,-3.7
t2,1581773394000000000,-4
t2,1581780626000000000,-3.5
t2,1581787821000000000,-3.5
t2,1581795288000000000,-3.5
t2,1581802838000000000,-3.3
t2,1581810640000000000,-2.4
t2,1581811627000000000,-1.4
t2,1581811899000000000,0.4
t2,1581812012000000000,1.4
t2,1581812126000000000,2.4
t2,1581812239000000000,3.4
t2,1581812403000000000,4.5
t2,1581812690000000000,3.4
t2,1581812967000000000,1.1
t2,1581813189000000000,0.1
t2,1581813703000000000,0.8
t2,1581820152000000000,1.1
t2,1581821975000000000,3.7
t2,1581822042000000000,5.1
t2,1581822172000000000,7.6
t2,1581822283000000000,8.7
t2,1581822419000000000,9.9
t2,1581822581000000000,11.1
t2,1581823236000000000,14.4
t2,1581823746000000000,13
t2,1581823810000000000,11.9
t2,1581823875000000000,10.8
t2,1581823962000000000,9.8
t2,1581824175000000000,8.7
t2,1581824888000000000,7.4
t2,1581825798000000000,8.5
t2,1581826148000000000,10.6
t2,1581827461000000000,13.8
t2,1581829124000000000,12.4
t2,1581830705000000000,10
t2,1581830816000000000,9
t2,1581830972000000000,6.9
t2,1581831083000000000,5.9
t2,1581831172000000000,4.8
t2,1581831388000000000,3.8
t2,1581832980000000000,4.8
t2,1581833046000000000,5.9
t2,1581833285000000000,9
t2,1581833970000000000,11.1
t2,1581834284000000000,8.5
t2,1581834371000000000,7.4
t2,1581834708000000000,4.2
t2,1581835028000000000,3
t2,1581844973000000000,1
t2,1581847586000000000,0
t2,1581852439000000000,0.2
t2,1581854129000000000,-1.2
t2,1581865457000000000,-1.7
