name,time,Press
quark,1581523377000000000,3674.05
quark,1581523421000000000,3595.78
quark,1581523466000000000,3700.96
quark,1581523511000000000,3752.33
quark,1581523556000000000,3675.27
quark,1581523686000000000,3737.65
quark,1581523859000000000,3643.47
quark,1581523989000000000,3735.2
quark,1581524119000000000,3677.72
quark,1581524164000000000,3795.13
quark,1581524209000000000,3697.29
quark,1581524296000000000,3756
quark,1581524341000000000,3622.68
quark,1581524386000000000,3714.41
quark,1581524473000000000,3609.23
quark,1581524561000000000,3746.21
quark,1581524606000000000,3696.07
quark,1581524650000000000,3579.88
quark,1581524695000000000,3666.71
quark,1581524825000000000,3727.87
quark,1581525083000000000,3671.6
quark,1581525214000000000,3744.99
quark,1581525301000000000,3798.8
quark,1581525346000000000,3663.04
quark,1581525391000000000,3746.21
quark,1581525651000000000,3760.89
quark,1581525781000000000,3699.73
quark,1581525911000000000,3760.89
quark,1581525956000000000,3681.39
quark,1581526000000000000,3744.99
quark,1581526045000000000,3663.04
quark,1581526090000000000,3726.64
quark,1581526348000000000,3659.37
quark,1581526393000000000,3738.87
quark,1581526480000000000,3669.16
quark,1581526610000000000,3720.53
quark,1581526911000000000,3654.48
quark,1581526956000000000,3764.56
quark,1581527001000000000,3708.3
quark,1581527131000000000,3650.81
quark,1581527176000000000,3722.97
quark,1581527220000000000,3658.15
quark,1581527265000000000,3768.23
quark,1581527310000000000,3669.16
quark,1581527485000000000,3670.38
quark,1581527658000000000,3769.45
quark,1581527702000000000,3671.6
quark,1581527790000000000,3718.08
quark,1581527963000000000,3666.71
quark,1581528007000000000,3735.2
quark,1581528052000000000,3685.06
quark,1581528312000000000,3681.39
quark,1581528741000000000,3757.22
quark,1581529042000000000,3703.4
quark,1581529257000000000,3757.22
quark,1581529302000000000,3686.28
quark,1581529432000000000,3738.87
quark,1581529562000000000,3636.14
quark,1581529607000000000,3692.4
quark,1581529694000000000,3749.88
quark,1581529739000000000,3685.06
quark,1581529784000000000,3767
quark,1581529872000000000,3671.6
quark,1581529959000000000,3741.32
quark,1581530004000000000,3674.05
quark,1581530605000000000,3674.05
quark,1581530778000000000,3612.9
quark,1581530823000000000,3710.74
quark,1581531209000000000,3764.56
quark,1581531254000000000,3703.4
quark,1581531682000000000,3804.92
quark,1581531727000000000,3639.81
quark,1581531772000000000,3763.33
quark,1581531945000000000,3588.44
quark,1581531989000000000,3752.33
quark,1581532120000000000,3681.39
quark,1581532164000000000,3735.2
quark,1581532209000000000,3678.94
quark,1581532339000000000,3782.9
quark,1581532384000000000,3718.08
quark,1581532642000000000,3809.81
quark,1581532687000000000,3661.82
quark,1581532774000000000,3711.97
quark,1581532990000000000,3779.23
quark,1581533077000000000,3696.07
quark,1581533421000000000,3782.9
quark,1581533465000000000,3688.73
quark,1581533809000000000,3742.54
quark,1581533896000000000,3674.05
quark,1581534368000000000,3733.98
quark,1581534711000000000,3655.7
quark,1581534756000000000,3727.87
quark,1581535056000000000,3641.03
quark,1581535144000000000,3696.07
quark,1581535274000000000,3752.33
quark,1581535319000000000,3697.29
quark,1581535449000000000,3567.65
quark,1581535494000000000,3714.41
quark,1581535538000000000,3663.04
quark,1581535583000000000,3733.98
quark,1581535799000000000,3644.7
quark,1581535843000000000,3720.53
quark,1581536144000000000,3663.04
quark,1581536189000000000,3790.24
quark,1581536276000000000,3674.05
quark,1581536321000000000,3748.66
quark,1581536366000000000,3647.14
quark,1581536411000000000,3733.98
quark,1581536626000000000,3669.16
quark,1581536671000000000,3760.89
quark,1581536758000000000,3669.16
quark,1581536803000000000,3724.2
quark,1581536848000000000,3663.04
quark,1581536936000000000,3744.99
quark,1581537023000000000,3678.94
quark,1581537068000000000,3763.33
quark,1581537328000000000,3655.7
quark,1581537415000000000,3715.63
quark,1581537716000000000,3659.37
quark,1581537761000000000,3711.97
quark,1581537806000000000,3652.04
quark,1581537850000000000,3753.55
quark,1581538324000000000,3741.32
quark,1581538411000000000,3685.06
quark,1581538499000000000,3764.56
quark,1581538544000000000,3697.29
quark,1581538674000000000,3786.57
quark,1581538718000000000,3674.05
quark,1581538851000000000,3671.6
quark,1581539196000000000,3693.62
quark,1581539497000000000,3707.07
quark,1581539586000000000,3677.72
quark,1581539631000000000,3757.22
quark,1581539676000000000,3685.06
quark,1581539721000000000,3742.54
